"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
centro_saude,identificacao,,text,"Centro de Saúde / USF",,"Registo do nome da unidade de saúde",,,,,,y,,,,,
data_nascimento,identificacao,"Dados Demográficos",text,"Data de nascimento",,"A idade do participante é calculada automaticamente a partir desta data.",date_dmy,,,,,y,,,,,
idade,identificacao,,calc,"Idade (anos)","rounddown(datediff([data_nascimento],[data_adm],'y','dmy',false),0)","Calculada automaticamente a partir da data de nascimento e da data de admissão. Critério de inclusão: 40–75 anos.",,,,,,,,,,," @READONLY"
genero,identificacao,,radio,Género,"1, Feminino | 2, Masculino | 3, Outro",,,,,,,y,,,,,
habilitacoes,identificacao,,radio,"Habilitações literárias","0, Ensino Básico | 1, Ensino Secundário | 2, Ensino Superior | 3, Outro",,,,,,,y,,,,,
sit_prof,identificacao,,radio,"Situação profissional","1, Empregado | 2, Desempregado | 3, Reformado | 4, Outro",,,,,,,y,,,,,
smartphone,identificacao,"Literacia digital",radio,"Possui smartphone?","1, Sim | 0, Não",,,,,,,y,,,,,
literacia_digital,identificacao,,radio,"Como avalia a sua capacidade de usar o smartphone?","1, Não consigo usar | 2, Com muita dificuldade | 3, Com alguma dificuldade | 4, Com facilidade | 5, Com muita facilidade",,,,,,"[smartphone] = '1'",y,,,,,
data_adm,identificacao,,text,"Data de admissão",,,date_dmy,,,,,y,,,,," @TODAY"
dm2_confirmada,triagem,"Critérios de Inclusão",radio,"Diagnóstico de Diabetes Mellitus Tipo 2 confirmado?","1, Sim | 0, Não",,,,,,,y,,,,,
hba1c_triagem,triagem,,text,"HbA1c na triagem (%)",,"Valor laboratorial mais recente. Critério de inclusão: entre 7.0 e 9.5%",number,3,20,,,y,,,,,
seguimento_csp,triagem,,radio,"Seguimento em Cuidados de Saúde Primários?","1, Sim | 0, Não",,,,,,,y,,,,,
insulina,triagem,"Critérios de Exclusão",radio,"Faz insulinoterapia? (Critério de exclusão)","1, Sim | 0, Não","Resposta Sim exclui o participante",,,,,,y,,,,,
elegivel,triagem,"Resultado da Triagem",calc,"Elegível para o estudo?","if([dm2_confirmada]='1' and [hba1c_triagem]>=7.0 and [hba1c_triagem]<=9.5 and [seguimento_csp]='1' and [insulina]='0' and [idade]>=40 and [idade]<=75, 1, 0)","1 = Elegível | 0 = Não elegível",,,,,,,,,,," @READONLY"
data_consentimento,consentimento_informado,"Consentimento Informado",text,"Data da assinatura do consentimento",,,date_dmy,,,,"[elegivel] = '1'",y,,,,," @TODAY"
versao_consentimento,consentimento_informado,,text,"Versão do documento de consentimento",,"Ex: v1.0 de 01/03/2025",,,,,"[elegivel] = '1'",y,,,,,
consentimento_assinado,consentimento_informado,,radio,"Consentimento informado assinado pelo participante?","1, Sim | 0, Não",,,,,,"[elegivel] = '1'",y,,,,,
investigador_nome,consentimento_informado,,text,"Nome do investigador que obteve o consentimento",,,,,,,"[elegivel] = '1'",y,,,,,
consentimento_upload,consentimento_informado,,file,"Upload do PDF do consentimento assinado",,"Opcional. Documento deve ser armazenado em sistema seguro conforme RGPD",,,,,"[elegivel] = '1' and [consentimento_assinado] = '1'",,,,,,
data_randomizacao,caracterizacao_basal,Randomização,text,"Data da randomização",,"Data em que a alocação ao braço do estudo foi efetuada. O braço é definido pela estrutura de Arms do REDCap (Arm 1 = GlucoCheck; Arm 2 = Controlo), configurada ao criar o registo do participante.",date_dmy,,,,"[consentimento_assinado] = '1'",y,,,,," @TODAY"
altura,caracterizacao_basal,Antropometria,text,"Altura (cm)",,"Medida uma única vez no baseline",integer,100,220,,"[consentimento_assinado] = '1'",y,,,,,
duracao_dm2,caracterizacao_basal,"História Clínica da DM2",text,"Tempo desde o diagnóstico de DM2 (anos)",,,integer,0,60,,"[consentimento_assinado] = '1'",y,,,,,
comp_microvasc,caracterizacao_basal,,checkbox,"Complicações microvasculares (selecionar todas as aplicáveis)","1, Retinopatia | 2, Nefropatia | 3, Neuropatia | 4, Nenhuma conhecida",,,,,,"[consentimento_assinado] = '1'",,,,,,
comp_macrovasc,caracterizacao_basal,,checkbox,"Complicações macrovasculares (selecionar todas as aplicáveis)","1, Doença coronária | 2, AVC ou AIT | 3, Doença arterial periférica | 4, Nenhuma conhecida",,,,,,"[consentimento_assinado] = '1'",,,,,,
med_metformina,caracterizacao_basal,"Medicação Anti-diabética Habitual",radio,"Faz metformina?","1, Sim | 0, Não",,,,,,"[consentimento_assinado] = '1'",y,,,,,
med_sulfonilureia,caracterizacao_basal,,radio,"Faz sulfonilureia (ex: gliclazida)?","1, Sim | 0, Não",,,,,,"[consentimento_assinado] = '1'",y,,,,,
med_dpp4,caracterizacao_basal,,radio,"Faz inibidor DPP-4 (ex: sitagliptina)?","1, Sim | 0, Não",,,,,,"[consentimento_assinado] = '1'",y,,,,,
med_sglt2,caracterizacao_basal,,radio,"Faz inibidor SGLT-2 (ex: dapagliflozina, empagliflozina)?","1, Sim | 0, Não",,,,,,"[consentimento_assinado] = '1'",y,,,,,
med_glp1,caracterizacao_basal,,radio,"Faz agonista GLP-1 (ex: semaglutido)?","1, Sim | 0, Não",,,,,,"[consentimento_assinado] = '1'",y,,,,,
med_outra,caracterizacao_basal,,text,"Outra medicação anti-diabética (especificar)",,,,,,,"[consentimento_assinado] = '1'",,,,,,
tabaco,caracterizacao_basal,Hábitos,radio,"Hábitos tabágicos","1, Não fumador | 2, Ex-fumador | 3, Fumador atual",,,,,,"[consentimento_assinado] = '1'",y,,,,,
alcool,caracterizacao_basal,,radio,"Consumo de álcool","1, Nenhum | 2, Ocasional | 3, Regular (diário ou quase diário)",,,,,,"[consentimento_assinado] = '1'",y,,,,,
exercicio,caracterizacao_basal,,radio,"Atividade física habitual","1, Sedentário | 2, Menos de 150 min/semana | 3, 150 min/semana ou mais",,,,,,"[consentimento_assinado] = '1'",y,,,,,
data_avaliacao,avaliacao_clinica,"Dados da Visita",text,"Data da avaliação",,,date_dmy,,,,,y,,,,," @TODAY"
visita_realizada,avaliacao_clinica,,radio,"Visita realizada?","1, Sim | 0, Não (participante não compareceu)",,,,,,,y,,,,,
peso,avaliacao_clinica,"Avaliação Física",text,"Peso (kg)",,,number,30,250,,"[visita_realizada] = '1'",y,,,,,
bmi,avaliacao_clinica,,calc,"IMC (kg/m²)","round(([peso]*10000)/([altura]*[altura]), 1)","Calculado automaticamente a partir do peso desta visita e da altura registada em caracterizacao_basal. Só produz valor no baseline (V0), porque a altura é registada apenas nesse event. Para V1 e V2, o IMC pode ser recalculado em fase de análise com o peso da visita e a altura do baseline.",,,,,,,,,,," @READONLY"
hba1c,avaliacao_clinica,"Avaliação Laboratorial",text,"HbA1c (%)",,"Introduzir valor com uma casa decimal",number,3,20,,"[visita_realizada] = '1'",y,,,,,
glicemia_jejum,avaliacao_clinica,,text,"Glicémia em jejum (mg/dL)",,"Valor da glicémia capilar ou venosa em jejum",integer,40,500,,"[visita_realizada] = '1'",y,,,,,
adesao_falhas,avaliacao_clinica,"Adesão à Terapêutica",text,"Nos últimos 7 dias, em quantos dias falhou a toma da medicação anti-diabética?",,"Registo do número de dias em que o participante não tomou a medicação prescrita conforme indicado. Permite estimar a adesão como variável de controlo para interpretar variações na HbA1c.",integer,0,7,,"[visita_realizada] = '1'",y,,,,,
medicacao_alterada,avaliacao_clinica,Medicação,radio,"Houve alteração na medicação desde a última avaliação?","1, Sim | 0, Não",,,,,,"[visita_realizada] = '1'",y,,,,,
medicacao_alteracao_desc,avaliacao_clinica,,notes,"Descrição da alteração de medicação",,"Ex: aumento de metformina para 1000 mg 2x/dia; adição de empagliflozina 10 mg",,,,,"[medicacao_alterada] = '1' and [visita_realizada] = '1'",,,,,,
des_1,escalas,"Escala DES-SF (Diabetes Empowerment Scale – Short Form)",radio,"Consigo escolher metas realistas para gerir a minha diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_2,escalas,,radio,"Consigo lidar com os aspetos emocionais da diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_3,escalas,,radio,"Consigo escolher metas de gestão da diabetes que me motivam","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_4,escalas,,radio,"Sei o que não me satisfaz na minha vida com diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_5,escalas,,radio,"Consigo transformar as minhas preocupações com a diabetes em planos de ação","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_6,escalas,,radio,"Tenho apoio suficiente para gerir a minha diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_7,escalas,,radio,"Sei pedir ajuda quando preciso em relação à diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_8,escalas,,radio,"Consigo lidar com o stress causado pela diabetes","1, Discordo totalmente | 2, Discordo | 3, Neutro | 4, Concordo | 5, Concordo totalmente",,,,,,,y,,,escala_des,,
des_total,escalas,,calc,"Score médio DES-SF","round(([des_1]+[des_2]+[des_3]+[des_4]+[des_5]+[des_6]+[des_7]+[des_8])/8, 2)","Score entre 1 e 5 — valores mais elevados indicam maior empoderamento",,,,,,,,,,," @READONLY"
dkq_1,escalas,"Conhecimento sobre Diabetes (DKQ-10)",radio,"Comer alimentos ricos em fibra ajuda a controlar a glicemia","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
dkq_2,escalas,,radio,"A insulina produzida pelo pâncreas regula os níveis de açúcar no sangue","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
dkq_3,escalas,,radio,"A análise de urina é a forma mais precisa de medir o açúcar no sangue","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
dkq_4,escalas,,radio,"Uma HbA1c acima de 9% indica mau controlo glicémico","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
dkq_5,escalas,,radio,"O exercício físico regular aumenta sempre a necessidade de insulina","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
dkq_6,escalas,,radio,"A diabetes mal controlada pode causar problemas renais","1, Verdadeiro | 0, Falso",,,,,,,y,,,escala_dkq,,
